observation_index,saison,spieltag,spiel,baseline_model,candidate_model,baseline_negative_log_score,candidate_negative_log_score,candidate_score_advantage,cumulative_candidate_score_advantage
389,19/20,10,3,poisson_rolling_306,com_poisson_rolling_306,3.497441235000423,3.5264849352305987,-0.029043700230175773,2.967959237823173
390,19/20,10,4,poisson_rolling_306,com_poisson_rolling_306,2.9488838996559537,2.8143133129505884,0.13457058670536526,3.1025298245285384
391,19/20,10,5,poisson_rolling_306,com_poisson_rolling_306,4.404765021658108,4.719788556075002,-0.3150235344168948,2.7875062901116436
392,19/20,10,6,poisson_rolling_306,com_poisson_rolling_306,2.9970615063789694,2.8753850353982955,0.12167647098067391,2.9091827610923175
393,19/20,10,7,poisson_rolling_306,com_poisson_rolling_306,2.9850758230619476,2.878130219430062,0.10694560363188543,3.016128364724203
394,19/20,10,8,poisson_rolling_306,com_poisson_rolling_306,3.497441235000423,3.5264849352305987,-0.029043700230175773,2.987084664494027
395,19/20,10,9,poisson_rolling_306,com_poisson_rolling_306,2.9397273717741825,2.814589785332828,0.12513758644135464,3.112222250935382
396,19/20,11,1,poisson_rolling_306,com_poisson_rolling_306,3.971783508723597,4.168768798397323,-0.19698528967372653,2.9152369612616553
397,19/20,11,2,poisson_rolling_306,com_poisson_rolling_306,3.2342938332066,3.178973375873383,0.055320457333216666,2.970557418594872
398,19/20,11,3,poisson_rolling_306,com_poisson_rolling_306,2.917458180627044,2.763497646186565,0.15396053444047908,3.124517953035351
399,19/20,11,4,poisson_rolling_306,com_poisson_rolling_306,3.384930466127706,3.4290992860650107,-0.044168819937304704,3.0803491330980464
400,19/20,11,5,poisson_rolling_306,com_poisson_rolling_306,3.5356652587736264,3.6383178802590095,-0.10265262148538312,2.9776965116126632
401,19/20,11,6,poisson_rolling_306,com_poisson_rolling_306,2.9450670693340655,2.811452444923944,0.1336146244101215,3.1113111360227848
402,19/20,11,7,poisson_rolling_306,com_poisson_rolling_306,3.480759881332169,3.5086336916559304,-0.02787381032376146,3.0834373256990233
